,State,R_State,Country
315,,no_info,The Great White North
316,,no_info,N/A
317,,no_info,Ireland
318,,no_info,Universe
319,,no_info,Montana
320,,no_info,Belize
321,,no_info,Italia
322,,no_info,Egypt
323,,no_info,New Jersey
324,,no_info,Bc
325,,no_info,La France
326,,no_info,Nebraska
327,,no_info,Oklahoma
328,,no_info,Kansas
329,,no_info,Colorado
330,,no_info,Alaska
331,,no_info,Norway
332,,no_info,Portugal
333,,no_info,Indiana
334,Niedersachsen, Germany,Germany
335,Niedersachsen, Germany,Lk Ammerland
336,Niedersachsen, Germany,
337,Niedersachsen, Germany,Deutschland
338,Oklahoma, United States,Usa
339,Oklahoma, United States,
340,Florida, United States,Usa
341,Florida, United States,
342,Florida, United States,United Kingdom
343,Florida, United States,France
344,Florida, United States,Australia
345,Florida, United States,Spain
346,Florida, United States,Canada
347,Florida, United States,Alachua
348,Florida, United States,U.S>
349,Florida, United States,America
350,Florida, United States,United States
351,Tennessee, United States,Usa
352,Tennessee, United States,
353,Tennessee, United States,Turkey
354,Tennessee, United States,Canada
355,Louisiana, United States,Usa
356,Louisiana, United States,
357,Louisiana, United States,St. Helena
358,Georgia,Georgia,Usa
359,Georgia,Georgia,
360,Georgia,Georgia,United Kingdom
361,Georgia,Georgia,Luxembourg
362,Georgia,Georgia,Afghanistan
363,Georgia,Georgia,France
364,Georgia,Georgia,Romania
365,Georgia,Georgia,Austria
366,Georgia,Georgia,Spain
367,Georgia,Georgia,Bahrain
368,Marche/Toscana, Italy,Italy
369,Texas, United States,Usa
370,Texas, United States,Sweden
371,Texas, United States,Usa (Currently Living In England)
372,Texas, United States,
373,Texas, United States,South Korea
374,Texas, United States,Canada
375,Texas, United States,Texas
376,Alberta, Canada,Canada
377,Alberta, Canada,
378,Alberta, Canada,Brazil
379,Alberta, Canada,Spain
380,Alberta, Canada,Switzerland
381,Alberta, Canada,United Kingdom
382,Alberta, Canada,France
383,Utrecht, Netherlands,Netherlands
384,Utrecht, Netherlands,
385,Ontario, Canada,Canada
386,Ontario, Canada,
387,Ontario, Canada,Ontario
388,Ontario, Canada,Usa
389,Ontario, Canada,Australia
390,Ontario, Canada,K1C7B1
391,Lisboa, Portugal,Portugal
392,Lisboa, Portugal,
393,England, United Kingdom,United Kingdom
394,England, United Kingdom,England
395,England, United Kingdom,
396,England, United Kingdom,Usa
397,England, United Kingdom,Lithuania
398,England, United Kingdom,Italy
399,England, United Kingdom,N/A
400,England, United Kingdom,U.K.
401,Massachusetts, United States,Usa
402,Massachusetts, United States,Framingham
403,Massachusetts, United States,
404,Massachusetts, United States,Netherlands
405,Colorado, United States,Usa
406,Colorado, United States,
407,Colorado, United States,Spain
408,Colorado, United States,United Kingdom
409,Colorado, United States,Vietnam
410,Colorado, United States,Canada
411,Virginia, United States,Usa
412,Virginia, United States,
413,Virginia, United States,Australia
414,Virginia, United States,United States
415,Virginia, United States,Austria
416,Emilia Romagna, Italy,Italy
417,Emilia Romagna, Italy,France
418,Emilia Romagna, Italy,Austria
419,Emilia Romagna, Italy,Ferrara
420,Emilia Romagna, Italy,Antarctica
421,Emilia Romagna, Italy,Spain
422,New Mexico, United States,Usa
423,New Mexico, United States,
424,New Mexico, United States,Canada
425,New Mexico, United States,United Kingdom
426,New Hampshire, United States,Usa
427,New Hampshire, United States,
428,Barcelona, Spain,Spain
429,Barcelona, Spain,España
430,Barcelona, Spain,Catalunya
431,Barcelona, Spain,Catalonia
432,Barcelona, Spain,
433,Barcelona, Spain,Catalunya Spain
434,Alaska, United States,Usa
435,Alaska, United States,
436,Alaska, United States,Germany
437,Alaska, United States,Brazil
438,Alaska, United States,Netherlands
439,Alaska, United States,United Kingdom
440,Alaska, United States,France
441,Alaska, United States,Mexico
442,Alaska, United States,Italy
443,Alaska, United States,Spain
444,Alabama, United States,Usa
445,Alabama, United States,Spain
446,Alabama, United States,United Kingdom
447,Alabama, United States,France
448,Alabama, United States,Austria
449,Alabama, United States,Germany
450,Alabama, United States,Canada
451,Alabama, United States,Zambia
452,Alabama, United States,Netherlands
453,Alabama, United States,Portugal
454,Alabama, United States,
455,Alabama, United States,Australia
456,Alabama, United States,Hungary
457,Alabama, United States,New Zealand
458,Alabama, United States,China
459,Alabama, United States,Algeria
460,Alabama, United States,Bahamas
461,New Jersey, United States,Usa
462,New Jersey, United States,
463,New Jersey, United States,Australia
464,New Jersey, United States,United States
465,New Jersey, United States,Canada
466,New Jersey, United States,Niger
467,New Jersey, United States,Burlington
468,New South Wales, Australia,Australia
469,New South Wales, Australia,
470,New South Wales, Australia,Israel
471,New South Wales, Australia,Usa
472,Wien, Austria,Austria
473,Wien, Austria,Eu
474,Wien, Austria,
475,Nordrhein-Westfalen, Germany,Germany
476,Nordrhein-Westfalen, Germany,Usa
477,Nordrhein-Westfalen, Germany,Ghana
478,Nordrhein-Westfalen, Germany,
479,Nordrhein-Westfalen, Germany,Grenada
480,Nordrhein-Westfalen, Germany,Greece
481,Nordrhein-Westfalen, Germany,Iceland
482,Nordrhein-Westfalen, Germany,Deutschland
483,Rheinland-Pfalz, Germany,Germany
484,Rheinland-Pfalz, Germany,Usa
485,Rheinland-Pfalz, Germany,Greece
486,Rheinland-Pfalz, Germany,Alderney
487,Rheinland-Pfalz, Germany,France
488,Rheinland-Pfalz, Germany,New Zealand
489,Indiana, United States,Usa
490,Indiana, United States,
491,Indiana, United States,Morgan
492,Indiana, United States,Canada
493,Indiana, United States,United Kingdom
494,Indiana, United States,Spain
495,Indiana, United States,Argentina
496,Maine, United States,Usa
497,Maine, United States,Canada
498,Maine, United States,Spain
499,Maine, United States,United Kingdom
500,Maine, United States,Aroostook
501,Maine, United States,Madrid
502,Paca, France,France
503,Paca, France,
504,Victoria, Australia,Australia
505,Victoria, Australia,Spain
506,Victoria, Australia,
507,Victoria, Australia,Italy
508,Arizona, United States,Usa
509,Arizona, United States,United Sates
510,Arizona, United States,Maricopa
511,Arizona, United States,Canada
512,Arizona, United States,Lleida
513,Arizona, United States,
514,Arizona, United States,China
515,Arizona, United States,Germany
516,Arizona, United States,Spain
517,Arizona, United States,Costa Rica
518,Arizona, United States,India
519,Arizona, United States,Ysa
520,Arizona, United States,Arizona
521,Yukon Territory, Canada,France
522,Yukon Territory, Canada,Canada
523,Yukon Territory, Canada,Usa
524,Yukon Territory, Canada,Chile
525,Yukon Territory, Canada,Spain
526,Yukon Territory, Canada,Netherlands
527,Yukon Territory, Canada,Turkey
528,Yukon Territory, Canada,Costa Rica
529,Wisconsin, United States,Usa
530,Wisconsin, United States,
531,Wisconsin, United States,Spain
532,Varsinais-Suomi, Finland,Finland
533,Nova Scotia, Canada,Canada
534,Nova Scotia, Canada,Nova Scotia
535,Nova Scotia, Canada,
536,Nova Scotia, Canada,Belgium
537,Utah, United States,Usa
538,Utah, United States,
539,Quebec, Canada,Canada
540,Quebec, Canada,
541,Quebec, Canada,Cape Verde
542,Quebec, Canada,Israel
543,Quebec, Canada,France
544,Catalunya, Spain,Spain
545,Catalunya, Spain,Andorra
546,Catalunya, Spain,
547,Catalunya, Spain,Catalunya
548,Catalunya, Spain,Fiji
549,Auckland, New Zealand,New Zealand
550,Auckland, New Zealand,
551,Auckland, New Zealand,N/A
552,Rhode Island, United States,Usa
553,Rhode Island, United States,
554,Rhode Island, United States,Canada
555,Singapore,Singapore,Singapore
556,Singapore,Singapore,
557,Singapore,Singapore,Thailand
558,Madrid, Spain,Spain
559,Madrid, Spain,España
560,Madrid, Spain,
561,Missouri, United States,Usa
562,Missouri, United States,
563,Missouri, United States,Saint Loius
564,Missouri, United States,Argentina
565,Newfoundland, Canada,Canada
566,Newfoundland, Canada,
567,Newfoundland, Canada,Usa
568,Ile De France, France,France
569,Ile De France, France,Paris
570,Ile De France, France,
571,Noord-Holland, Netherlands,Netherlands
572,Noord-Holland, Netherlands,
573,Toscana, Italy,Italy
574,Toscana, Italy,Canada
575,Toscana, Italy,
576,Toscana, Italy,Italia
577,Toscana, Italy,Usa
578,Sachsen, Germany,Germany
579,Sachsen, Germany,New Zealand
580,Sachsen, Germany,
581,Sachsen, Germany,Austria
582,Sachsen, Germany,United Kingdom
583,London, United Kingdom,United Kingdom
584,London, United Kingdom,England
585,London, United Kingdom,
586,South Dakota, United States,Usa
587,South Dakota, United States,Spain
588,Canton De Berne, Switzerland,Switzerland
589,Na,Namibia,New Zealand
590,Na,Namibia,La Chine Éternelle!
591,Na,Namibia,La Chine Éternelle !
592,Na,Namibia,Ireland
593,Na,Namibia,
594,Na,Namibia,Norway
595,Na,Namibia,Turkey
596,Na,Namibia,United Kingdom
597,Na,Namibia,Brazil
598,Na,Namibia,Aruba
599,Na,Namibia,Usa
600,Na,Namibia,Indonesia
601,Na,Namibia,Portugal
602,Canterbury, United Kingdom,New Zealand
603,Canterbury, United Kingdom,South Island
604,Canterbury, United Kingdom,
605,Canterbury, United Kingdom,Nz
606,Lille, France,France
607,Stockholm, Sweden,Sweden
608,Stockholm, Sweden,
609,Schweiz,Switzerland,Switzerland
610,Ny, United States,New York
611,Ny, United States,Usa
612,Ny, United States,United Staes
613,Arkansas, United States,Usa
614,Arkansas, United States,Arkansas
615,Arkansas, United States,Antigua And Barbuda
616,Arkansas, United States,
617,Arkansas, United States,Canada
618,Arkansas, United States,Poland
619,Arkansas, United States,Australia
620,Arkansas, United States,Afghanistan
621,Arkansas, United States,United Kingdom
622,Montana, United States,Usa
623,Montana, United States,Malaysia
624,Negeri Sembilan, Malaysia,Malaysia
625,Negeri Sembilan, Malaysia,
626,Zürich, Switzerland,Switzerland
627,Zürich, Switzerland,Stadt
628,Zürich, Switzerland,Tajikistan
629,Basilicata, Italy,Spain
630,Basilicata, Italy,Italy
631,Basilicata, Italy,Argentina
632,Basilicata, Italy,Canada
633,Asia,Asia,Singapore
634,Asia,Asia,Turkmenistan
635,Asia,Asia,Hong Kong
636,Perak, Malaysia,Malaysia
637,Lombardia, Italy,Italy
638,Lombardia, Italy,
639,Lombardia, Italy,Usa
640,Lombardia, Italy,Italia
641,Nrw (Nordrhein Westfalen), Germany,Germany
642,Cataluña, Spain,Spain
643,Cataluña, Spain,
644,Lisbon, Portugal,Portugal
645,Vermont, United States,Usa
646,Vermont, United States,
647,Geneve, Switzerland,Switzerland
648,Federal Territory, Malaysia,Malaysia
649,Schleswig-Holstein, Germany,Germany
650,Schleswig-Holstein, Germany,Deutschland
651,Schleswig-Holstein, Germany,Spain
652,Schleswig-Holstein, Germany,Netherlands
653,West-Vlaanderen, Belgium,Belgium
654,Nevada, United States,Usa
655,Nevada, United States,
656,Nevada, United States,Nevada
657,Veneto, Italy,Italy
658,Veneto, Italy,Usa
659,Veneto, Italy,Slovakia
660,Veneto, Italy,Alderney
661,Veneto, Italy,Spain
662,Pontevedra, Spain,Spain
663,Pontevedra, Spain,
664,Connecticut, United States,Usa
665,Connecticut, United States,Singapore
666,Connecticut, United States,Spain
667,Connecticut, United States,United Kingdom
668,Connecticut, United States,
669,Connecticut, United States,Portugal
670,Connecticut, United States,Costa Rica
671,Saskatchewan, Canada,Canada
672,Saskatchewan, Canada,
673,Saskatchewan, Canada,Caribbean Sea
674,Bern, Switzerland,Switzerland
675,Gloucestershire, United Kingdom,United Kingdom
676,Gloucestershire, United Kingdom,England
677,Gloucestershire, United Kingdom,
678,North Dakota, United States,Usa
679,North Dakota, United States,Canada
680,Emmental, Colombia,Switzerland
681,Ostschweiz, Switzerland,Switzerland
682,Fukui, Japan,Japan
683,Thueringen, Germany,Germany
684,Berlin, Germany,Germany
685,Berlin, Germany,
686,Jalisco, Mexico,
687,Jalisco, Mexico,Mexico
688,Jalisco, Mexico,Zapopan
689,Paris, France,France
690,Se,Sweden,Sweden
691,Kentucky, United States,Usa
692,Kentucky, United States,Canada
693,Kentucky, United States,
694,Mecklenburg-Vorpommern, Germany,Germany
695,Mecklenburg-Vorpommern, Germany,Spain
696,Selangor, Malaysia,Malaysia
697,Tasmania, Australia,Australia
698,Tasmania, Australia,Usa
699,Tasmania, Australia,Spain
700,Tasmania, Australia,Japan
701,Bretagne, France,France
702,Bretagne, France,Gabon
703,West Virginia, United States,Usa
704,West Virginia, United States,
705,West Virginia, United States,Russia
706,Baden-Württemberg, Germany,Germany
707,Baden-Württemberg, Germany,
708,Baden-Württemberg, Germany,Greece
709,Baden-Württemberg, Germany,Deutschland
710,Zaragoza, Spain,Spain
711,Kl, India,Malaysia
712,Hainaut, Belgium,Belgium
713,Castilla, Peru,Spain
714,Co. Wicklow, Ireland,Ireland
715,Alicante, Spain,Spain
716,Penang, Malaysia,
717,Penang, Malaysia,Malaysia
718,Andalucia, Spain,Spain
719,Andalucia, Spain,España
720,Massachussetts, France,Usa
721,Lazio, Italy,Italy
722,Lazio, Italy,
723,Lazio, Italy,United Kingdom
724,Lazio, Italy,Portugal
725,Lazio, Italy,Israel
726,Lazio, Italy,Usa
727,Lazio, Italy,Germany
728,Lazio, Italy,Italia
729,Lazio, Italy,Albania
730,Lazio, Italy,Andorra
731,Lazio, Italy,Singapore
732,N.Ireland, Ireland,United Kingdom
733,(Porto), Portugal,Portugal
734,Puglia, Italy,Italy
735,Friuli Venezia Giulia, Italy,Italy
736,Friuli Venezia Giulia, Italy,Usa
737,Friuli Venezia Giulia, Italy,United Kingdom
738,Friuli Venezia Giulia, Italy,Spain
739,Friuli Venezia Giulia, Italy,Albania
740,Friuli Venezia Giulia, Italy,New Zealand
741,Friuli Venezia Giulia, Italy,Uruguay
742,Friuli Venezia Giulia, Italy,France
743,Mississippi, United States,Usa
744,Mississippi, United States,Canada
745,Mississippi, United States,Germany
746,Mississippi, United States,
747,Mississippi, United States,Syria
748,Castilla-León, Spain,Spain
749,Central, Mongolia,Trinidad And Tobago
750,Central, Mongolia,Hong Kong
751,Central, Mongolia,Paraguay
752,Valencia, Spain,Spain
753,Valencia, Spain,N/A
754,Iowa, United States,Usa
755,Iowa, United States,
756,Prince Edward Island, Canada,Canada
757,Prince Edward Island, Canada,
758,Seixal, Portugal,Portugal
759,Hawaii, United States,Usa
760,Hawaii, United States,United Kingdom
761,Hawaii, United States,Portugal
762,Hawaii, United States,Us
763,Hawaii, United States,Japan
764,Hawaii, United States,Benin
765,Nebraska, United States,Usa
766,Nebraska, United States,
767,Nebraska, United States,United Kingdom
768,Nebraska, United States,Netherlands
769,Nebraska, United States,Switzerland
770,Nebraska, United States,New Zealand
771,Nebraska, United States,Australia
772,Alsace, France,France
773,Porto, Portugal,Portugal
774,Porto, Portugal,
775,Brussels, Belgium,Belgium
776,Scotland, United Kingdom,United Kingdom
777,Scotland, United Kingdom,
778,Scotland, United Kingdom,United Kindgonm
779,Scotland, United Kingdom,Spain
780,North Island, United States,
781,North Island, United States,New Zealand
782,Western Australia, Australia,Australia
783,Western Australia, Australia,Austria
784,Não Há Cá Disso ^^,no_info,Portugal
785,Wales, United Kingdom,United Kingdom
786,Wales, United Kingdom,Usa
787,Wales, United Kingdom,Italy
788,Wales, United Kingdom,
789,Wales, United Kingdom,Wales
790,Wales, United Kingdom,Austria
791,Vizcaya, Spain,Spain
792,Vizcaya, Spain,Pais Vasco
793,Ialoveni, Moldova,Moldova
794,Nc 27243, United States,North Carolina
795,Cheshire, United Kingdom,United Kingdom
796,Cheshire, United Kingdom,England
797,Cheshire, United Kingdom,
798,West Sussex, United Kingdom,United Kingdom
799,Renfrewshire, United Kingdom,United Kingdom
800,Renfrewshire, United Kingdom,Scotland
801,Girona, Spain,Spain
802,Girona, Spain,Catalunya
803,Burgos, Spain,Spain
804,Antwerpen, Belgium,Belgium
805,Gipuzkoa, Spain,Spain
806,Gipuzkoa, Spain,
807,Gipuzkoa, Spain,Euskal Herria
808,Bavaria, Germany,Germany
809,Bavaria, Germany,
810,Hamburg, Germany,Germany
811,Hamburg, Germany,New Zealand
812,Hamburg, Germany,Deutschland
813,Hamburg, Germany,
814,Hamburg, Germany,Usa
815,None, Italy,Usa
816,None, Italy,Philippines
817,None, Italy,Denmark
818,None, Italy,United Kingdom
819,None, Italy,Trinidad And Tobago
820,None, Italy,Israel
821,Italy,Italy,Italy
822,Italy,Italy,
823,Italy,Italy,In Europe
824,Australian Capital Territory, Australia,Australia
825,Australian Capital Territory, Australia,Spain
826,Australian Capital Territory, Australia,Czech Republic
827,Australian Capital Territory, Australia,
828,Australian Capital Territory, Australia,Italy
829,Tn,Tunisia,Tennessee
830,Tn,Tunisia,Rutherford
831,Franche Comte, France,France
832,Salzburg, Austria,Austria
833,Delaware, United States,Usa
834,Delaware, United States,Canada
835,Delaware, United States,Dominican Republic
836,Delaware, United States,Spain
837,Cantabria, Spain,Spain
838,N.S.W, United Kingdom,Australia
839,Mi,United States,Italy
840,Mi,United States,Usa
841,Mi,United States,Michigan
842,Málaga, Spain,Spain
843,Okinawa, Japan,Japan
844,Okinawa, Japan,
845,Liguria, Italy,Italy
846,Liguria, Italy,
847,Kuwait,Kuwait,Kuwait
848,Santa Cruz De Tenerife, Spain,Spain
849,Santa Cruz De Tenerife, Spain,Canary Islands
850,Stroud, United Kingdom,United Kingdom
851,Ix Región, Finland,
852,Callao, Peru,Peru
853,Canada,Canada,Canada
854,Alpes Maritimes, France,France
855,Bruxelles, Belgium,Belgium
856,Kent, United Kingdom,United Kingdom
857,Kent, United Kingdom,
858,Kent, United Kingdom,England
859,Kent, United Kingdom,Uk
860,Pyrenees Atlantiques, France,France
861,Galicia, Spain,Spain
862,Galicia, Spain,
863,Guayas, Ecuador,Ecuador
864,Va,Vatican City,Virginia
865,Va,Vatican City,Prince William
866,Va,Vatican City,Usa
867,Noord-Brabant, Netherlands,Netherlands
868,Surrey, United Kingdom,United Kingdom
869,Surrey, United Kingdom,
870,Surrey, United Kingdom,England
871,Rhone Alpes, France,France
872,Dc, United States,Usa
873,Dc, United States,Dc
874,Dc, United States,
875,Dc, United States,Spain
876,Dc, United States,Egypt
877,Dc, United States,Venezuela
878,Dc, United States,Portugal
879,Dc, United States,Norway
880,Dc, United States,United States
881,A Coruña, Spain,Spain
882,A Coruña, Spain,España
883,A Coruña, Spain,
884,Corcaigh, Ireland,Ireland
885,Nottingham, United Kingdom,United Kingdom
886,País Vasco, Spain,Spain
887,País Vasco, Spain,Álava
888,Kucuk Esat,no_info,Turkey
889,Leicestershire, United Kingdom,England
890,Leicestershire, United Kingdom,United Kingdom
891,Västerbotten, Sweden,Sweden
892,Piemonte, Italy,Italy
893,Piemonte, Italy,Usa
894,Piemonte, Italy,
895,"""N/A""", Portugal,Germany
896,"""N/A""", Portugal,Denmark
